Filename,Frequency (Hz)
Wave008.csv,686512
Wave324.csv,693105
Wave158.csv,693896
Wave164.csv,694881
Wave054.csv,695869
Wave157.csv,697883
Wave333.csv,698966
Wave031.csv,700083
Wave350.csv,701578
Wave203.csv,703757
Wave233.csv,704299
Wave320.csv,704434
Wave081.csv,704630
Wave177.csv,707773
Wave301.csv,708082
Wave332.csv,709556
Wave151.csv,710910
Wave404.csv,711724
Wave344.csv,712874
Wave224.csv,714280
Wave174.csv,714643
Wave004.csv,716261
Wave232.csv,726377
Wave227.csv,727476
Wave321.csv,730365
Wave222.csv,731996
Wave067.csv,736162
Wave243.csv,736256
Wave371.csv,736875
Wave379.csv,737019
Wave257.csv,737244
Wave306.csv,741655
Wave035.csv,742520
Wave310.csv,750215
Wave261.csv,759151
Wave355.csv,759212
Wave121.csv,760377
Wave230.csv,768425
Wave308.csv,771285
Wave143.csv,773386
Wave194.csv,773684
Wave202.csv,782220
Wave197.csv,785263
Wave392.csv,791942
Wave149.csv,802781
Wave126.csv,804259
Wave407.csv,804814
Wave179.csv,805030
Wave168.csv,808323
Wave053.csv,809503
Wave337.csv,810539
Wave285.csv,815752
Wave242.csv,816066
Wave389.csv,826444
Wave118.csv,827058
Wave377.csv,828687
Wave056.csv,829515
Wave323.csv,831309
Wave290.csv,832374
Wave099.csv,834346
Wave039.csv,837845
Wave037.csv,840540
Wave277.csv,844179
Wave221.csv,845930
Wave074.csv,855502
Wave034.csv,855985
Wave307.csv,858564
Wave343.csv,858865
Wave319.csv,863629
Wave283.csv,863818
Wave130.csv,866805
Wave085.csv,867196
Wave418.csv,867891
Wave005.csv,877739
Wave385.csv,883122
Wave155.csv,884074
Wave415.csv,884617
Wave175.csv,884657
Wave152.csv,887608
Wave225.csv,887923
Wave255.csv,889066
Wave373.csv,890496
Wave131.csv,890765
Wave097.csv,893568
Wave293.csv,895460
Wave380.csv,896341
Wave405.csv,897983
Wave228.csv,898354
Wave096.csv,901536
Wave196.csv,905805
Wave262.csv,908129
Wave414.csv,911512
Wave214.csv,913747
Wave084.csv,915743
Wave138.csv,916323
Wave041.csv,919772
Wave349.csv,926704
Wave055.csv,927608
Wave410.csv,928321
Wave049.csv,929099
Wave229.csv,929106
Wave216.csv,931000
Wave142.csv,931161
Wave378.csv,931482
Wave165.csv,932613
Wave068.csv,933282
Wave123.csv,933364
Wave066.csv,937097
Wave013.csv,938334
Wave198.csv,942152
Wave351.csv,951901
Wave057.csv,951939
Wave247.csv,952482
Wave191.csv,952550
Wave381.csv,955957
Wave289.csv,957324
Wave357.csv,968414
Wave356.csv,970255
Wave226.csv,976725
Wave217.csv,977173
Wave161.csv,985168
Wave402.csv,985686
Wave052.csv,986165
Wave186.csv,986971
Wave070.csv,987667
Wave116.csv,988131
Wave322.csv,990516
Wave167.csv,991029
Wave042.csv,992029
Wave374.csv,992126
Wave189.csv,992397
Wave334.csv,993025
Wave314.csv,993100
Wave271.csv,995256
Wave032.csv,996382
Wave193.csv,996697
